A.S. 91040 v2,4.00 cr ,Social Studies 1.2 - Conduct a social inquiry,Social Science Studies,,10SST,Social Studies,Social Science
A.S. 91429 v1,4.00 cr ,Geography 3.4 - Demonstrate understanding of a given environment(s) through selection and application of geographic concepts and skills,Social Science Studies,External,GEO8,Geography,Social Science
A.S. 91430 v1,5.00 cr ,Geography 3.5 - Conduct geographic research with consultation,Social Science Studies,,GEO8,Geography,Social Science
A.S. 91431 v1,3.00 cr ,Geography 3.6 - Analyse aspects of a contemporary geographic issue,Social Science Studies,,GEO8,Geography,Social Science
A.S. 91432 v1,3.00 cr ,Geography 3.7 - Analyse aspects of a geographic topic at a global scale,Social Science Studies,,GEO8,Geography,Social Science
A.S. 91063 v3,3.00 cr ,Design and Visual Communication 1.30 - Produce freehand sketches that communicate design ideas,Technology,External,GRA6,Graphics,Technology
A.S. 91064 v3,3.00 cr ,"Design and Visual Communication 1.31 - Produce instrumental, multi-view orthographic drawings that communicate technical features of design ideas",Technology,External,GRA6,Graphics,Technology
A.S. 91065 v3,3.00 cr ,Design and Visual Communication 1.32 - Produce instrumental paraline drawings to communicate design ideas,Technology,External,GRA6,Graphics,Technology
A.S. 91066 v2,3.00 cr ,Design and Visual Communication 1.33 - Use rendering techniques to communicate the form of design ideas,Technology,,GRA6,Graphics,Technology
A.S. 91068 v3,6.00 cr ,Design and Visual Communication 1.35 - Undertake development of design ideas through graphics practice,Technology,,GRA6,Graphics,Technology
A.S. 91069 v3,4.00 cr ,Design and Visual Communication 1.36 - Promote an organised body of design work to an audience using visual communication techniques,Technology,,GRA6,Graphics,Technology
A.S. 91337 v2,3.00 cr ,Design and Visual Communication 2.30 - Use visual communication techniques to generate design ideas,Technology,External,GRA7,Graphics,Technology
A.S. 91338 v2,4.00 cr ,Design and Visual Communication 2.31 - Produce working drawings to communicate technical details of a design,Technology,External,GRA7,Graphics,Technology
A.S. 91342 v2,6.00 cr ,Design and Visual Communication 2.35 - Develop a product design through graphics practice,Technology,,GRA7,Graphics,Technology
A.S. 91343 v2,4.00 cr ,Design and Visual Communication 2.36 - Use visual communication techniques to compose a presentation of a design,Technology,,GRA7,Graphics,Technology
U.S. 2433 v7,6.00 cr ,Produce simple engineering component drawings using CAD software,Mechanical Engineering,,GRA7,Graphics,Technology
A.S. 91627 v2,4.00 cr ,Design and Visual Communication 3.30 - Initiate design ideas through exploration,Technology,External,GRA8,Graphics,Technology
A.S. 91629 v2,6.00 cr ,Design and Visual Communication 3.32 - Resolve a spatial design through graphics practice,Technology,,GRA8,Graphics,Technology
A.S. 91630 v2,6.00 cr ,Design and Visual Communication 3.33 - Resolve a product design through graphics practice,Technology,,GRA8,Graphics,Technology
A.S. 91631 v2,6.00 cr ,Design and Visual Communication 3.34 - Produce working drawings to communicate production details for a complex design,Technology,External,GRA8,Graphics,Technology
U.S. 2433 v7,6.00 cr ,Produce simple engineering component drawings using CAD software,Mechanical Engineering,,GRA8,Graphics,Technology
U.S. 4258 v5,2.00 cr ,Describe ways of managing and coping with change,Core Generic,,GTY7,Gateway,FraserNet
U.S. 497 v7,3.00 cr ,Demonstrate knowledge of workplace health and safety requirements,Occupational Health and Safety,,GTY7,Gateway,FraserNet
U.S. 62 v5,3.00 cr ,Maintain personal presentation and a positive attitude in a workplace involving customer contact,Service Sector Skills,,GTY7,Gateway,FraserNet
U.S. 6400 v4,2.00 cr ,Manage first aid in emergency situations,Health Studies,,GTY7,Gateway,FraserNet
U.S. 6401 v4,1.00 cr ,Provide first aid,Health Studies,,GTY7,Gateway,FraserNet
U.S. 6402 v6,1.00 cr ,Provide resuscitation level 2,Health Studies,,GTY7,Gateway,FraserNet
A.S. 90971 v1,3.00 cr ,Health 1.1 - Take action to enhance an aspect of personal well-being,Health and Physical Education,,HEA6,Health,Physical Education
A.S. 90973 v2,5.00 cr ,Health 1.4 - Demonstrate understanding of interpersonal skills used to enhance relationships,Health and Physical Education,,HEA6,Health,Physical Education
A.S. 90974 v1,4.00 cr ,Health 1.5 - Demonstrate understanding of strategies for promoting positive sexuality,Health and Physical Education,,HEA6,Health,Physical Education
A.S. 90975 v2,4.00 cr ,Health 1.6 - Demonstrate understanding of issues to make health-enhancing decisions in drug-related situations,Health and Physical Education,External,HEA6,Health,Physical Education
A.S. 91097 v2,4.00 cr ,Health 1.3 - Demonstrate understanding of ways in which well-being can change and strategies to support well-being,Health and Physical Education,,HEA6,Health,Physical Education
A.S. 91235 v1,5.00 cr ,Health 2.1 - Analyse an adolescent health issue,Health and Physical Education,External,HEA7,Health,Physical Education
A.S. 91236 v1,5.00 cr ,Health 2.2 - Evaluate factors that influence people's ability to manage change,Health and Physical Education,,HEA7,Health,Physical Education
A.S. 91238 v1,4.00 cr ,Health 2.4 - Analyse an interpersonal issue(s) that places personal safety at risk,Health and Physical Education,External,HEA7,Health,Physical Education
A.S. 91239 v1,5.00 cr ,Health 2.5 - Analyse issues related to sexuality and gender to develop strategies for addressing the issues,Health and Physical Education,,HEA7,Health,Physical Education
A.S. 91461 v1,5.00 cr ,Health 3.1 - Analyse a New Zealand health issue,Health and Physical Education,,HEA8,Health,Physical Education
A.S. 91462 v1,5.00 cr ,Health 3.2 - Analyse an international health issue,Health and Physical Education,External,HEA8,Health,Physical Education
A.S. 91463 v1,5.00 cr ,Health 3.3 - Evaluate health practices currently used in New Zealand,Health and Physical Education,,HEA8,Health,Physical Education
A.S. 91464 v1,4.00 cr ,Health 3.4 - Analyse a contemporary ethical issue in relation to well-being,Health and Physical Education,,HEA8,Health,Physical Education
A.S. 91001 v2,4.00 cr ,"History 1.1 - Carry out an investigation of an historical event, or place, of significance to New Zealanders",Social Science Studies,,HIS6,History,Social Science
A.S. 91002 v2,4.00 cr ,"History 1.2 - Demonstrate understanding of an historical event, or place, of significance to New Zealanders",Social Science Studies,,HIS6,History,Social Science
A.S. 91003 v2,4.00 cr ,History 1.3 - Interpret sources of an historical event of significance to New Zealanders,Social Science Studies,External,HIS6,History,Social Science
A.S. 91004 v2,4.00 cr ,History 1.4 - Demonstrate understanding of different perspectives of people in an historical event of significance to New Zealanders,Social Science Studies,,HIS6,History,Social Science
A.S. 91005 v2,4.00 cr ,History 1.5 - Describe the causes and consequences of an historical event,Social Science Studies,External,HIS6,History,Social Science
A.S. 91229 v1,4.00 cr ,History 2.1 - Carry out an inquiry of an historical event or place that is of significance to New Zealanders,Social Science Studies,,HIS8,History,Social Science
A.S. 91230 v1,5.00 cr ,History 2.2 - Examine an historical event or place that is of significance to New Zealanders,Social Science Studies,,HIS8,History,Social Science
A.S. 91231 v1,4.00 cr ,History 2.3 - Examine sources of an historical event that is of significance to New Zealanders,Social Science Studies,External,HIS8,History,Social Science
A.S. 91232 v1,5.00 cr ,History 2.4 - Interpret different perspectives of people in an historical event that is of significance to New Zealanders,Social Science Studies,,HIS8,History,Social Science
A.S. 91233 v1,5.00 cr ,History 2.5 - Examine causes and consequences of a significant historical event,Social Science Studies,External,HIS8,History,Social Science
A.S. 91434 v1,5.00 cr ,"History 3.1 - Research an historical event or place of significance to New Zealanders, using primary and secondary sources",Social Science Studies,,HIS8,History,Social Science
A.S. 91435 v1,5.00 cr ,"History 3.2 - Analyse an historical event, or place, of significance to New Zealanders",Social Science Studies,,HIS8,History,Social Science
A.S. 91436 v1,4.00 cr ,History 3.3 - Analyse evidence relating to an historical event of significance to New Zealanders,Social Science Studies,External,HIS8,History,Social Science
A.S. 91437 v1,5.00 cr ,History 3.4 - Analyse different perspectives of a contested event of significance to New Zealanders,Social Science Studies,,HIS8,History,Social Science
A.S. 91438 v1,6.00 cr ,History 3.5 - Analyse the causes and consequences of a significant historical event,Social Science Studies,External,HIS8,History,Social Science
A.S. 90157 v3,4.00 cr ,Agricultural and Horticultural Science 1.2 - Demonstrate practical skills used in agricultural or horticultural production,Science,,HOR6,Horticulture,Science
U.S. 1 v5,5.00 cr ,Prepare and sow outdoor seedbeds manually,Horticulture,,HOR6,Horticulture,Science
U.S. 20570 v3,5.00 cr ,Demonstrate knowledge of nursery growing media and soils,Horticulture,,HOR6,Horticulture,Science
U.S. 21027 v3,10.00 cr ,"Plant and care for bedding plants, bulbs or herbaceous perennials",Horticulture,,HOR6,Horticulture,Science
U.S. 23782 v1,2.00 cr ,"Identify containers, materials, plants, and tools used in plant propagation",Horticulture,,HOR6,Horticulture,Science
U.S. 23783 v1,5.00 cr ,Grow and maintain plants in containers from seed,Horticulture,,HOR6,Horticulture,Science
A.S. 91292 v1,4.00 cr ,Agricultural and Horticultural Science 2.4 - Demonstrate understanding of how management practices influence plant growth and development in NZ commercial production,Science,,HOR7,Horticulture,Science
U.S. 22177 v1,5.00 cr ,Demonstrate knowledge of the structure and function of plants,Horticulture,,HOR7,Horticulture,Science
U.S. 22191 v1,5.00 cr ,Demonstrate knowledge of factors which influence plant growth,Horticulture,,HOR7,Horticulture,Science
U.S. 23781 v1,5.00 cr ,Grow and pot up plants from stem cuttings,Horticulture,,HOR7,Horticulture,Science
U.S. 27707 v1,5.00 cr ,"Demonstrate knowledge of plant propagation by budding, grafting, layering and tissue culture",Horticulture,,HOR7,Horticulture,Science
U.S. 27708 v1,6.00 cr ,Demonstrate knowledge of sexual and asexual plant propagation,Horticulture,,HOR7,Horticulture,Science
U.S. 15896 v4,3.00 cr ,Demonstrate knowledge of frying and grilling as cookery methods in the commercial catering industry,Hospitality,,HOS6,Hospitality,Technology
U.S. 15900 v4,4.00 cr ,Prepare and present meat in the hospitality industry,Hospitality,,HOS6,Hospitality,Technology
U.S. 15901 v4,3.00 cr ,Prepare and present fruit and vegetables in the hospitality industry,Hospitality,,HOS6,Hospitality,Technology
U.S. 15919 v4,2.00 cr ,Prepare and present hot finger food in the hospitality industry,Hospitality,,HOS6,Hospitality,Technology
U.S. 15921 v4,3.00 cr ,"Prepare and cook a cake, a sponge and a batch of scones in the hospitality industry",Hospitality,,HOS6,Hospitality,Technology
U.S. 497 v7,3.00 cr ,Demonstrate knowledge of workplace health and safety requirements,Occupational Health and Safety,,HOS6,Hospitality,Technology
U.S. 10337 v4,3.00 cr ,Describe the legal rights and personal responsibilities of secondary school students,Social Science Studies,,LAW7,Legal Studies,Social Science
U.S. 8543 v3,2.00 cr ,Describe the role of law and its relationship with New Zealand society,Social Science Studies,,LAW7,Legal Studies,Social Science
U.S. 8545 v3,3.00 cr ,"Describe factors contributing to, and consequences of, crime",Social Science Studies,,LAW7,Legal Studies,Social Science
U.S. 8546 v3,2.00 cr ,Describe the New Zealand judicial system,Social Science Studies,,LAW7,Legal Studies,Social Science
U.S. 8547 v3,3.00 cr ,"Describe the role, and operation of the Youth Justice System",Social Science Studies,,LAW7,Legal Studies,Social Science
U.S. 8551 v3,3.00 cr ,"Describe the application of New Zealand law to marriage, civil union, and de-facto relationships",Social Science Studies,,LAW7,Legal Studies,Social Science
U.S. 8555 v2,3.00 cr ,Describe the purpose and application of consumer law,Social Science Studies,,LAW7,Legal Studies,Social Science
U.S. 10341 v3,4.00 cr ,Describe and evaluate the legal relationship between the state and the individual,Social Science Studies,,LAW8,Legal Studies,Social Science
U.S. 10344 v3,3.00 cr ,Describe and evaluate a law reform,Social Science Studies,,LAW8,Legal Studies,Social Science
U.S. 10345 v3,3.00 cr ,Compare legal systems and their ability to accommodate differences,Social Science Studies,,LAW8,Legal Studies,Social Science
U.S. 10347 v4,5.00 cr ,Demonstrate knowledge of the development of the New Zealand legal system,Social Science Studies,,LAW8,Legal Studies,Social Science
U.S. 10349 v3,4.00 cr ,"Describe and evaluate criminal and civil court processes, and systems of justice",Social Science Studies,,LAW8,Legal Studies,Social Science
U.S. 12355 v3,2.00 cr ,Describe stress and ways of dealing with it,Core Generic,,LES7,Leisure Studies,Physical Education
U.S. 467 v5,3.00 cr ,Demonstrate personal and social development through participation in adventure based learning,Outdoor Recreation,,LES7,Leisure Studies,Physical Education
U.S. 470 v5,3.00 cr ,Demonstrate personal and social development through participation in a low ropes course programme,Outdoor Recreation,,LES7,Leisure Studies,Physical Education
U.S. 473 v6,3.00 cr ,Demonstrate personal and social development through participation in a high ropes course programme,Outdoor Recreation,,LES7,Leisure Studies,Physical Education
U.S. 9677 v8,3.00 cr ,Participate in a team or group which has an objective,Communication Skills,,LES7,Leisure Studies,Physical Education
A.S. 90852 v1,4.00 cr ,"English 1.8 - Explain significant connection(s) across texts, using supporting evidence",English,,LFL5,Literacy For Life,English
A.S. 90855 v1,3.00 cr ,English 1.7 - Create a visual text,English,,LFL5,Literacy For Life,English
U.S. 10792 v3,3.00 cr ,Write formal personal correspondence,Communication Skills,,LFL5,Literacy For Life,English
U.S. 26622 v1,4.00 cr ,Write to communicate ideas for a purpose and audience,Core Generic,,LFL5,Literacy For Life,English
U.S. 26624 v1,3.00 cr ,Read texts with understanding,Core Generic,,LFL5,Literacy For Life,English
U.S. 26625 v2,3.00 cr ,Actively participate in spoken interactions,Core Generic,,LFL5,Literacy For Life,English
U.S. 504 v5,2.00 cr ,Produce a CV (curriculum vitae),Core Generic,,LFL5,Literacy For Life,English
A.S. 91256 v1,2.00 cr ,Mathematics and Statistics 2.1 - Apply co-ordinate geometry methods in solving problems,Mathematics,,MAC7,Mathematics with Calculus,Mathematics
A.S. 91257 v1,4.00 cr ,Mathematics and Statistics 2.2 - Apply graphical methods in solving problems,Mathematics,,MAC7,Mathematics with Calculus,Mathematics
A.S. 91261 v1,4.00 cr ,Mathematics and Statistics 2.6 - Apply algebraic methods in solving problems,Mathematics,External,MAC7,Mathematics with Calculus,Mathematics
A.S. 91262 v1,5.00 cr ,Mathematics and Statistics 2.7 - Apply calculus methods in solving problems,Mathematics,External,MAC7,Mathematics with Calculus,Mathematics
A.S. 91267 v1,4.00 cr ,Mathematics and Statistics 2.12 - Apply probability methods in solving problems,Statistics and Probability,External,MAC7,Mathematics with Calculus,Mathematics
A.S. 91269 v1,2.00 cr ,Mathematics and Statistics 2.14 - Apply systems of equations in solving problems,Mathematics,,MAC7,Mathematics with Calculus,Mathematics
A.S. 91573 v1,3.00 cr ,Mathematics and Statistics 3.1 - Apply the geometry of conic sections in solving problems,Mathematics,,MAC8,Calculus,Mathematics
A.S. 91575 v1,4.00 cr ,Mathematics and Statistics 3.3 - Apply trigonometric methods in solving problems,Mathematics,,MAC8,Calculus,Mathematics
A.S. 91577 v1,5.00 cr ,Mathematics and Statistics 3.5 - Apply the algebra of complex numbers in solving problems,Mathematics,External,MAC8,Calculus,Mathematics
A.S. 91578 v1,6.00 cr ,Mathematics and Statistics 3.6 - Apply differentiation methods in solving problems,Mathematics,External,MAC8,Calculus,Mathematics
A.S. 91579 v1,6.00 cr ,Mathematics and Statistics 3.7 - Apply integration methods in solving problems,Mathematics,External,MAC8,Calculus,Mathematics
A.S. 91027 v3,4.00 cr ,Mathematics and Statistics 1.2 - Apply algebraic procedures in solving problems,Mathematics,External,MAI6,Mathematics,Mathematics
A.S. 91032 v2,3.00 cr ,Mathematics and Statistics 1.7 - Apply right-angled triangles in solving measurement problems,Mathematics,,MAI6,Mathematics,Mathematics
A.S. 91034 v2,2.00 cr ,Mathematics and Statistics 1.9 - Apply transformation geometry in solving problems,Mathematics,,MAI6,Mathematics,Mathematics
A.S. 91035 v2,4.00 cr ,Mathematics and Statistics 1.10 - Investigate a given multivariate data set using the statistical enquiry cycle,Statistics and Probability,,MAI6,Mathematics,Mathematics
A.S. 91036 v2,3.00 cr ,Mathematics and Statistics 1.11 - Investigate bivariate numerical data using the statistical enquiry cycle,Statistics and Probability,,MAI6,Mathematics,Mathematics
A.S. 91037 v3,4.00 cr ,Mathematics and Statistics 1.12 - Demonstrate understanding of chance and data,Statistics and Probability,External,MAI6,Mathematics,Mathematics
A.S. 91038 v2,3.00 cr ,Mathematics and Statistics 1.13 - Investigate a situation involving elements of chance,Statistics and Probability,,MAI6,Mathematics,Mathematics
U.S. 26623 v1,4.00 cr ,Use number to solve problems,Core Generic,,MAI6,Mathematics,Mathematics
U.S. 26626 v1,3.00 cr ,Interpret statistical information for a purpose,Core Generic,,MAI6,Mathematics,Mathematics
U.S. 26627 v1,3.00 cr ,Use measurement to solve problems,Core Generic,,MAI6,Mathematics,Mathematics
A.S. 91027 v3,4.00 cr ,Mathematics and Statistics 1.2 - Apply algebraic procedures in solving problems,Mathematics,External,MAI7,Mathematics,Mathematics
A.S. 91037 v3,4.00 cr ,Mathematics and Statistics 1.12 - Demonstrate understanding of chance and data,Statistics and Probability,External,MAI7,Mathematics,Mathematics
A.S. 91256 v1,2.00 cr ,Mathematics and Statistics 2.1 - Apply co-ordinate geometry methods in solving problems,Mathematics,,MAI7,Mathematics,Mathematics
A.S. 91258 v1,2.00 cr ,Mathematics and Statistics 2.3 - Apply sequences and series in solving problems,Mathematics,,MAI7,Mathematics,Mathematics
A.S. 91259 v1,3.00 cr ,Mathematics and Statistics 2.4 - Apply trigonometric relationships in solving problems,Mathematics,,MAI7,Mathematics,Mathematics
A.S. 91260 v1,2.00 cr ,Mathematics and Statistics 2.5 - Apply network methods in solving problems,Mathematics,,MAI7,Mathematics,Mathematics
A.S. 91268 v1,2.00 cr ,Mathematics and Statistics 2.13 - Investigate a situation involving elements of chance using a simulation,Statistics and Probability,,MAI7,Mathematics,Mathematics
A.S. 91256 v1,2.00 cr ,Mathematics and Statistics 2.1 - Apply co-ordinate geometry methods in solving problems,Mathematics,,MAS7,Mathematics,Mathematics
A.S. 91261 v1,4.00 cr ,Mathematics and Statistics 2.6 - Apply algebraic methods in solving problems,Mathematics,External,MAS7,Mathematics,Mathematics
A.S. 91264 v1,4.00 cr ,Mathematics and Statistics 2.9 - Use statistical methods to make an inference,Statistics and Probability,,MAS7,Mathematics,Mathematics
A.S. 91267 v1,4.00 cr ,Mathematics and Statistics 2.12 - Apply probability methods in solving problems,Statistics and Probability,External,MAS7,Mathematics,Mathematics
A.S. 91268 v1,2.00 cr ,Mathematics and Statistics 2.13 - Investigate a situation involving elements of chance using a simulation,Statistics and Probability,,MAS7,Mathematics,Mathematics
A.S. 91269 v1,2.00 cr ,Mathematics and Statistics 2.14 - Apply systems of equations in solving problems,Mathematics,,MAS7,Mathematics,Mathematics
A.S. 91574 v1,3.00 cr ,Mathematics and Statistics 3.2 - Apply linear programming methods in solving problems,Mathematics,,MAS8,Statistics,Mathematics
A.S. 91580 v1,4.00 cr ,Mathematics and Statistics 3.8 - Investigate time series data,Statistics and Probability,,MAS8,Statistics,Mathematics
A.S. 91581 v1,4.00 cr ,Mathematics and Statistics 3.9 - Investigate bivariate measurement data,Statistics and Probability,,MAS8,Statistics,Mathematics
A.S. 91585 v1,4.00 cr ,Mathematics and Statistics 3.13 - Apply probability concepts in solving problems,Statistics and Probability,External,MAS8,Statistics,Mathematics
A.S. 91586 v1,4.00 cr ,Mathematics and Statistics 3.14 - Apply probability distributions in solving problems,Statistics and Probability,External,MAS8,Statistics,Mathematics
A.S. 91587 v1,3.00 cr ,Mathematics and Statistics 3.15 - Apply systems of simultaneous equations in solving problems,Mathematics,,MAS8,Statistics,Mathematics
U.S. 26623 v2,4.00 cr ,Use number to solve problems,Core Generic,,MAT3,Mathematics,Mathematics
U.S. 26626 v2,3.00 cr ,Interpret statistical information for a purpose,Core Generic,,MAT3,Mathematics,Mathematics
U.S. 26627 v2,3.00 cr ,Use measurement to solve problems,Core Generic,,MAT3,Mathematics,Mathematics
A.S. 91026 v1,4.00 cr ,Mathematics and Statistics 1.1 - Apply numeric reasoning in solving problems,Mathematics,,MAT4,Mathematics,Mathematics
A.S. 91030 v1,3.00 cr ,Mathematics and Statistics 1.5 - Apply measurement in solving problems,Mathematics,,MAT4,Mathematics,Mathematics
A.S. 91036 v1,3.00 cr ,Mathematics and Statistics 1.11 - Investigate bivariate numerical data using the statistical enquiry cycle,Statistics and Probability,,MAT4,Mathematics,Mathematics
U.S. 26623 v2,4.00 cr ,Use number to solve problems,Core Generic,,MAT4,Mathematics,Mathematics
U.S. 26626 v2,3.00 cr ,Interpret statistical information for a purpose,Core Generic,,MAT4,Mathematics,Mathematics
U.S. 26627 v2,3.00 cr ,Use measurement to solve problems,Core Generic,,MAT4,Mathematics,Mathematics
A.S. 91026 v1,4.00 cr ,Mathematics and Statistics 1.1 - Apply numeric reasoning in solving problems,Mathematics,,MAT5,Mathematics,Mathematics
A.S. 91030 v1,3.00 cr ,Mathematics and Statistics 1.5 - Apply measurement in solving problems,Mathematics,,MAT5,Mathematics,Mathematics
A.S. 91036 v1,3.00 cr ,Mathematics and Statistics 1.11 - Investigate bivariate numerical data using the statistical enquiry cycle,Statistics and Probability,,MAT5,Mathematics,Mathematics
U.S. 26623 v2,4.00 cr ,Use number to solve problems,Core Generic,,MAT5,Mathematics,Mathematics
U.S. 26626 v2,3.00 cr ,Interpret statistical information for a purpose,Core Generic,,MAT5,Mathematics,Mathematics
U.S. 26627 v2,3.00 cr ,Use measurement to solve problems,Core Generic,,MAT5,Mathematics,Mathematics
A.S. 91026 v1,4.00 cr ,Mathematics and Statistics 1.1 - Apply numeric reasoning in solving problems,Mathematics,,MAT5E,Mathematics,Mathematics
A.S. 91030 v1,3.00 cr ,Mathematics and Statistics 1.5 - Apply measurement in solving problems,Mathematics,,MAT5E,Mathematics,Mathematics
A.S. 91036 v1,3.00 cr ,Mathematics and Statistics 1.11 - Investigate bivariate numerical data using the statistical enquiry cycle,Statistics and Probability,,MAT5E,Mathematics,Mathematics
U.S. 26623 v2,4.00 cr ,Use number to solve problems,Core Generic,,MAT5E,Mathematics,Mathematics
U.S. 26626 v2,3.00 cr ,Interpret statistical information for a purpose,Core Generic,,MAT5E,Mathematics,Mathematics
U.S. 26627 v2,3.00 cr ,Use measurement to solve problems,Core Generic,,MAT5E,Mathematics,Mathematics
A.S. 91027 v3,4.00 cr ,Mathematics and Statistics 1.2 - Apply algebraic procedures in solving problems,Mathematics,External,MAT6,Mathematics,Mathematics
A.S. 91028 v2,4.00 cr ,"Mathematics and Statistics 1.3 - Investigate relationships between tables, equations and graphs",Mathematics,External,MAT6,Mathematics,Mathematics
A.S. 91029 v2,3.00 cr ,Mathematics and Statistics 1.4 - Apply linear algebra in solving problems,Mathematics,,MAT6,Mathematics,Mathematics
A.S. 91032 v2,3.00 cr ,Mathematics and Statistics 1.7 - Apply right-angled triangles in solving measurement problems,Mathematics,,MAT6,Mathematics,Mathematics
A.S. 91035 v2,4.00 cr ,Mathematics and Statistics 1.10 - Investigate a given multivariate data set using the statistical enquiry cycle,Statistics and Probability,,MAT6,Mathematics,Mathematics
A.S. 91037 v3,4.00 cr ,Mathematics and Statistics 1.12 - Demonstrate understanding of chance and data,Statistics and Probability,External,MAT6,Mathematics,Mathematics
U.S. 26623 v1,4.00 cr ,Use number to solve problems,Core Generic,,MAT6,Mathematics,Mathematics
U.S. 26626 v1,3.00 cr ,Interpret statistical information for a purpose,Core Generic,,MAT6,Mathematics,Mathematics
U.S. 26627 v1,3.00 cr ,Use measurement to solve problems,Core Generic,,MAT6,Mathematics,Mathematics
A.S. 91027 v3,4.00 cr ,Mathematics and Statistics 1.2 - Apply algebraic procedures in solving problems,Mathematics,External,MAT6E,Mathematics,Mathematics
A.S. 91028 v2,4.00 cr ,"Mathematics and Statistics 1.3 - Investigate relationships between tables, equations and graphs",Mathematics,External,MAT6E,Mathematics,Mathematics
A.S. 91029 v2,3.00 cr ,Mathematics and Statistics 1.4 - Apply linear algebra in solving problems,Mathematics,,MAT6E,Mathematics,Mathematics
A.S. 91032 v2,3.00 cr ,Mathematics and Statistics 1.7 - Apply right-angled triangles in solving measurement problems,Mathematics,,MAT6E,Mathematics,Mathematics
A.S. 91035 v2,4.00 cr ,Mathematics and Statistics 1.10 - Investigate a given multivariate data set using the statistical enquiry cycle,Statistics and Probability,,MAT6E,Mathematics,Mathematics
A.S. 91037 v3,4.00 cr ,Mathematics and Statistics 1.12 - Demonstrate understanding of chance and data,Statistics and Probability,External,MAT6E,Mathematics,Mathematics
A.S. 91032 v2,3.00 cr ,Mathematics and Statistics 1.7 - Apply right-angled triangles in solving measurement problems,Mathematics,,MAU5,Mathematics,Mathematics
A.S. 91035 v2,4.00 cr ,Mathematics and Statistics 1.10 - Investigate a given multivariate data set using the statistical enquiry cycle,Statistics and Probability,,MAU5,Mathematics,Mathematics
A.S. 91036 v2,3.00 cr ,Mathematics and Statistics 1.11 - Investigate bivariate numerical data using the statistical enquiry cycle,Statistics and Probability,,MAU5,Mathematics,Mathematics
U.S. 26623 v1,4.00 cr ,Use number to solve problems,Core Generic,,MAU5,Mathematics,Mathematics
U.S. 26626 v1,3.00 cr ,Interpret statistical information for a purpose,Core Generic,,MAU5,Mathematics,Mathematics
U.S. 26627 v1,3.00 cr ,Use measurement to solve problems,Core Generic,,MAU5,Mathematics,Mathematics
A.S. 90989 v1,3.00 cr ,Media Studies 1.1 - Demonstrate understanding of how individuals interact with the media,Social Science Studies,,MES7,Media Studies,DigiTech
A.S. 91249 v1,4.00 cr ,Media Studies 2.2 - Demonstrate understanding of narrative in media texts,Social Science Studies,,MES7,Media Studies,DigiTech
A.S. 91251 v2,4.00 cr ,Media Studies 2.4 - Demonstrate understanding of an aspect of a media genre,Social Science Studies,External,MES7,Media Studies,DigiTech
A.S. 91252 v1,4.00 cr ,Media Studies 2.5 - Produce a design and plan for a developed media product using a range of conventions,Social Science Studies,,MES7,Media Studies,DigiTech
A.S. 91253 v2,6.00 cr ,Media Studies 2.6 - Complete a developed media product from a design and plan using a range of conventions,Social Science Studies,,MES7,Media Studies,DigiTech
A.S. 91254 v1,3.00 cr ,Media Studies 2.7 - Demonstrate understanding of an ethical issue in the media,Social Science Studies,,MES7,Media Studies,DigiTech
A.S. 91255 v1,3.00 cr ,Media Studies 2.8 - Write developed media text for a specific target audience,Social Science Studies,,MES7,Media Studies,DigiTech
A.S. 91490 v1,4.00 cr ,Media Studies 3.1 - Demonstrate understanding of an aspect of a media industry,Social Science Studies,External,MES8,Media Studies,DigiTech
A.S. 91491 v1,3.00 cr ,Media Studies 3.2 - Demonstrate understanding of the meaning of a media text through different readings,Social Science Studies,,MES8,Media Studies,DigiTech
A.S. 91494 v1,4.00 cr ,Media Studies 3.5 - Produce a design for a media product that meets the requirements of a brief,Social Science Studies,,MES8,Media Studies,DigiTech
A.S. 91495 v1,6.00 cr ,Media Studies 3.6 - Produce a media product to meet the requirements of a brief,Social Science Studies,,MES8,Media Studies,DigiTech
A.S. 91496 v1,3.00 cr ,Media Studies 3.7 - Demonstrate understanding of a significant development in the media,Social Science Studies,,MES8,Media Studies,DigiTech
A.S. 91497 v1,3.00 cr ,Media Studies 3.8 - Write a media text to meet the requirements of a brief,Social Science Studies,,MES8,Media Studies,DigiTech
A.S. 91416 v1,8.00 cr ,Making Music 3.1 - Perform two programmes of music as a featured soloist,Music,,MUP8,Music,Arts
A.S. 91417 v1,4.00 cr ,Making Music 3.2 - Perform a programme of music as a featured soloist on a second instrument,Music,,MUP8,Music,Arts
A.S. 91418 v1,4.00 cr ,Making Music 3.3 - Demonstrate ensemble skills by performing two substantial pieces of music as a member of a group,Music,,MUP8,Music,Arts
A.S. 91419 v1,8.00 cr ,Making Music 3.4 - Communicate musical intention by composing three original pieces of music,Music,,MUP8,Music,Arts
A.S. 91423 v1,4.00 cr ,Music Studies 3.8 - Examine the influence of context on a substantial music work,Music,,MUP8,Music,Arts
A.S. 91424 v1,4.00 cr ,Music Studies 3.9 - Create two arrangements for an ensemble,Music,,MUP8,Music,Arts
A.S. 91425 v1,6.00 cr ,Music Studies 3.10 - Research a music topic,Music,,MUP8,Music,Arts
A.S. 91090 v2,6.00 cr ,Music 1.1 - Perform two pieces of music as a featured soloist,Music,,MUS6,Music,Arts
