A.S. 91026 v1,4.00 cr ,Mathematics and Statistics 1.1 - Apply numeric reasoning in solving problems,Mathematics,,MAT5E,Mathematics,
A.S. 91030 v1,3.00 cr ,Mathematics and Statistics 1.5 - Apply measurement in solving problems,Mathematics,,MAT5E,Mathematics,
A.S. 91036 v1,3.00 cr ,Mathematics and Statistics 1.11 - Investigate bivariate numerical data using the statistical enquiry cycle,Statistics and Probability,,MAT5E,Mathematics,
U.S. 26623 v2,4.00 cr ,Use number to solve problems,Core Generic,,MAT5E,Mathematics,
U.S. 26626 v2,3.00 cr ,Interpret statistical information for a purpose,Core Generic,,MAT5E,Mathematics,
U.S. 26627 v2,3.00 cr ,Use measurement to solve problems,Core Generic,,MAT5E,Mathematics,
A.S. 91026 v3,4.00 cr ,Mathematics and Statistics 1.1 - Apply numeric reasoning in solving problems,Mathematics,,MAT6,Mathematics,110
A.S. 91027 v3,4.00 cr ,Mathematics and Statistics 1.2 - Apply algebraic procedures in solving problems,Mathematics,External,MAT6,Mathematics,109
A.S. 91028 v3,4.00 cr ,"Mathematics and Statistics 1.3 - Investigate relationships between tables, equations and graphs",Mathematics,External,MAT6,Mathematics,109
A.S. 91032 v3,3.00 cr ,Mathematics and Statistics 1.7 - Apply right-angled triangles in solving measurement problems,Mathematics,,MAT6,Mathematics,106
A.S. 91035 v3,4.00 cr ,Mathematics and Statistics 1.10 - Investigate a given multivariate data set using the statistical enquiry cycle,Statistics and Probability,,MAT6,Mathematics,109
A.S. 91037 v4,4.00 cr ,Mathematics and Statistics 1.12 - Demonstrate understanding of chance and data,Statistics and Probability,External,MAT6,Mathematics,108
U.S. 26623 v2,4.00 cr ,Use number to solve problems,Core Generic,,MAT6,Mathematics,95
U.S. 26626 v2,3.00 cr ,Interpret statistical information for a purpose,Core Generic,,MAT6,Mathematics,102
U.S. 26627 v2,3.00 cr ,Use measurement to solve problems,Core Generic,,MAT6,Mathematics,103
A.S. 91026 v3,4.00 cr ,Mathematics and Statistics 1.1 - Apply numeric reasoning in solving problems,Mathematics,,MAT6E,Mathematics,23
A.S. 91027 v3,4.00 cr ,Mathematics and Statistics 1.2 - Apply algebraic procedures in solving problems,Mathematics,External,MAT6E,Mathematics,23
A.S. 91028 v3,4.00 cr ,"Mathematics and Statistics 1.3 - Investigate relationships between tables, equations and graphs",Mathematics,External,MAT6E,Mathematics,23
A.S. 91032 v3,3.00 cr ,Mathematics and Statistics 1.7 - Apply right-angled triangles in solving measurement problems,Mathematics,,MAT6E,Mathematics,23
A.S. 91035 v3,4.00 cr ,Mathematics and Statistics 1.10 - Investigate a given multivariate data set using the statistical enquiry cycle,Statistics and Probability,,MAT6E,Mathematics,23
A.S. 91037 v4,4.00 cr ,Mathematics and Statistics 1.12 - Demonstrate understanding of chance and data,Statistics and Probability,External,MAT6E,Mathematics,23
A.S. 91032 v2,3.00 cr ,Mathematics and Statistics 1.7 - Apply right-angled triangles in solving measurement problems,Mathematics,,MAU5,Mathematics,69
A.S. 91035 v2,4.00 cr ,Mathematics and Statistics 1.10 - Investigate a given multivariate data set using the statistical enquiry cycle,Statistics and Probability,,MAU5,Mathematics,69
A.S. 91036 v2,3.00 cr ,Mathematics and Statistics 1.11 - Investigate bivariate numerical data using the statistical enquiry cycle,Statistics and Probability,,MAU5,Mathematics,70
U.S. 26623 v1,4.00 cr ,Use number to solve problems,Core Generic,,MAU5,Mathematics,113
U.S. 26626 v1,3.00 cr ,Interpret statistical information for a purpose,Core Generic,,MAU5,Mathematics,93
U.S. 26627 v1,3.00 cr ,Use measurement to solve problems,Core Generic,,MAU5,Mathematics,112
A.S. 90971 v1,3.00 cr ,Health 1.1 - Take action to enhance an aspect of personal well-being,Health and Physical Education,,HEA6,Physical Education,29
A.S. 90973 v2,5.00 cr ,Health 1.4 - Demonstrate understanding of interpersonal skills used to enhance relationships,Health and Physical Education,,HEA6,Physical Education,31
A.S. 90974 v3,4.00 cr ,Health 1.5 - Demonstrate understanding of strategies for promoting positive sexuality,Health and Physical Education,,HEA6,Physical Education,31
A.S. 90975 v3,4.00 cr ,Health 1.6 - Demonstrate understanding of issues to make health-enhancing decisions in drug-related situations,Health and Physical Education,External,HEA6,Physical Education,24
A.S. 91097 v2,4.00 cr ,Health 1.3 - Demonstrate understanding of ways in which well-being can change and strategies to support well-being,Health and Physical Education,,HEA6,Physical Education,29
A.S. 91235 v2,5.00 cr ,Health 2.1 - Analyse an adolescent health issue,Health and Physical Education,External,HEA7,Physical Education,27
A.S. 91236 v1,5.00 cr ,Health 2.2 - Evaluate factors that influence people's ability to manage change,Health and Physical Education,,HEA7,Physical Education,25
A.S. 91238 v2,4.00 cr ,Health 2.4 - Analyse an interpersonal issue(s) that places personal safety at risk,Health and Physical Education,External,HEA7,Physical Education,23
A.S. 91239 v1,5.00 cr ,Health 2.5 - Analyse issues related to sexuality and gender to develop strategies for addressing the issues,Health and Physical Education,,HEA7,Physical Education,24
A.S. 91461 v1,5.00 cr ,Health 3.1 - Analyse a New Zealand health issue,Health and Physical Education,,HEA8,Physical Education,28
A.S. 91462 v1,5.00 cr ,Health 3.2 - Analyse an international health issue,Health and Physical Education,External,HEA8,Physical Education,24
A.S. 91463 v1,5.00 cr ,Health 3.3 - Evaluate health practices currently used in New Zealand,Health and Physical Education,,HEA8,Physical Education,27
A.S. 91464 v1,4.00 cr ,Health 3.4 - Analyse a contemporary ethical issue in relation to well-being,Health and Physical Education,,HEA8,Physical Education,28
U.S. 12355 v3,2.00 cr ,Describe stress and ways of dealing with it,Core Generic,,LES7,Physical Education,18
U.S. 467 v5,3.00 cr ,Demonstrate personal and social development through participation in adventure based learning,Outdoor Recreation,,LES7,Physical Education,
U.S. 470 v5,3.00 cr ,Demonstrate personal and social development through participation in a low ropes course programme,Outdoor Recreation,,LES7,Physical Education,
U.S. 473 v6,3.00 cr ,Demonstrate personal and social development through participation in a high ropes course programme,Outdoor Recreation,,LES7,Physical Education,
U.S. 9677 v8,3.00 cr ,Participate in a team or group which has an objective,Communication Skills,,LES7,Physical Education,20
A.S. 90965 v2,4.00 cr ,Physical Education 1.4 - Demonstrate understanding of societal influences on physical activity and the implications for self and others,Health and Physical Education,,PEA6,Physical Education,6
A.S. 90968 v3,3.00 cr ,"Physical Education 1.7 - Demonstrate, and show understanding of, responsible behaviour for safety during outdoor education activities",Health and Physical Education,,PEA6,Physical Education,45
A.S. 90969 v3,2.00 cr ,Physical Education 1.8 - Take purposeful action to assist others to participate in physical activity,Health and Physical Education,,PEA6,Physical Education,44
A.S. 90970 v2,3.00 cr ,Physical Education 1.9 - Demonstrate self management strategies and describe the effects on participation in physical activity,Health and Physical Education,,PEA6,Physical Education,41
U.S. 505 v6,3.00 cr ,Manage personal physical fitness with guidance,Fitness,,PEA6,Physical Education,39
A.S. 90971 v1,3.00 cr ,Health 1.1 - Take action to enhance an aspect of personal well-being,Health and Physical Education,,PED5,Physical Education,
A.S. 90968 v3,3.00 cr ,"Physical Education 1.7 - Demonstrate, and show understanding of, responsible behaviour for safety during outdoor education activities",Health and Physical Education,,PED6,Physical Education,18
A.S. 90969 v3,2.00 cr ,Physical Education 1.8 - Take purposeful action to assist others to participate in physical activity,Health and Physical Education,,PED6,Physical Education,
A.S. 90970 v2,3.00 cr ,Physical Education 1.9 - Demonstrate self management strategies and describe the effects on participation in physical activity,Health and Physical Education,,PED6,Physical Education,19
A.S. 90962 v3,5.00 cr ,Physical Education 1.1 - Participate actively in a variety of physical activities and explain factors that influence own participation,Health and Physical Education,,PEO6,Physical Education,75
A.S. 90963 v3,5.00 cr ,Physical Education 1.2 - Demonstrate understanding of the function of the body as it relates to the performance of physical activity,Health and Physical Education,,PEO6,Physical Education,75
A.S. 90964 v3,3.00 cr ,Physical Education 1.3 - Demonstrate quality movement in the performance of a physical activity,Health and Physical Education,,PEO6,Physical Education,75
A.S. 90965 v3,4.00 cr ,Physical Education 1.4 - Demonstrate understanding of societal influences on physical activity and the implications for self and others,Health and Physical Education,,PEO6,Physical Education,3
A.S. 90966 v2,4.00 cr ,Physical Education 1.5 - Demonstrate interpersonal skills in a group and explain how these skills impact on others,Health and Physical Education,,PEO6,Physical Education,53
A.S. 90967 v2,3.00 cr ,Physical Education 1.6 - Demonstrate strategies to improve the performance of a physical activity and describe the outcomes,Health and Physical Education,,PEO6,Physical Education,71
A.S. 91328 v1,5.00 cr ,Physical Education 2.2 - Demonstrate understanding of how and why biophysical principles relate to the learning of physical skills,Health and Physical Education,,PEO7,Physical Education,46
A.S. 91329 v1,4.00 cr ,Physical Education 2.3 - Demonstrate understanding of the application of biophysical principles to training for physical activity,Health and Physical Education,,PEO7,Physical Education,41
A.S. 91330 v1,4.00 cr ,Physical Education 2.4 - Perform a physical activity in an applied setting,Health and Physical Education,,PEO7,Physical Education,42
A.S. 91331 v1,4.00 cr ,"Physical Education 2.5 - Examine the significance for self, others and society of a sporting event, a physical activity, or a festival",Health and Physical Education,,PEO7,Physical Education,
A.S. 91332 v1,4.00 cr ,Physical Education 2.6 - Evaluate leadership strategies that contribute to the effective functioning of a group,Health and Physical Education,,PEO7,Physical Education,44
A.S. 91333 v1,3.00 cr ,Physical Education 2.7 - Analyse the application of risk management strategies to a challenging outdoor activity,Health and Physical Education,,PEO7,Physical Education,41
A.S. 91498 v1,4.00 cr ,Physical Education 3.1 - Evaluate physical activity experiences to devise strategies for lifelong well-being,Health and Physical Education,,PEO8,Physical Education,26
A.S. 91499 v1,3.00 cr ,Physical Education 3.2 - Analyse a physical skill performed by self or others,Health and Physical Education,,PEO8,Physical Education,33
A.S. 91500 v1,4.00 cr ,Physical Education 3.3 - Evaluate the effectiveness of a performance improvement programme,Health and Physical Education,,PEO8,Physical Education,27
A.S. 91501 v1,4.00 cr ,Physical Education 3.4 - Demonstrate quality performance of a physical activity in an applied setting,Health and Physical Education,,PEO8,Physical Education,32
A.S. 91502 v1,4.00 cr ,"Physical Education 3.5 - Examine a current physical activity event, trend, or issue and its impact on New Zealand society",Health and Physical Education,,PEO8,Physical Education,15
A.S. 91504 v1,3.00 cr ,Physical Education 3.7 - Analyse issues in safety management for outdoor activity to devise safety management strategies,Health and Physical Education,,PEO8,Physical Education,23
A.S. 90962 v3,5.00 cr ,Physical Education 1.1 - Participate actively in a variety of physical activities and explain factors that influence own participation,Health and Physical Education,,PES6,Physical Education,81
A.S. 90963 v3,5.00 cr ,Physical Education 1.2 - Demonstrate understanding of the function of the body as it relates to the performance of physical activity,Health and Physical Education,,PES6,Physical Education,81
A.S. 90964 v3,3.00 cr ,Physical Education 1.3 - Demonstrate quality movement in the performance of a physical activity,Health and Physical Education,,PES6,Physical Education,87
A.S. 90965 v3,4.00 cr ,Physical Education 1.4 - Demonstrate understanding of societal influences on physical activity and the implications for self and others,Health and Physical Education,,PES6,Physical Education,2
A.S. 90966 v2,4.00 cr ,Physical Education 1.5 - Demonstrate interpersonal skills in a group and explain how these skills impact on others,Health and Physical Education,,PES6,Physical Education,82
A.S. 90967 v2,3.00 cr ,Physical Education 1.6 - Demonstrate strategies to improve the performance of a physical activity and describe the outcomes,Health and Physical Education,,PES6,Physical Education,81
A.S. 91328 v2,5.00 cr ,Physical Education 2.2 - Demonstrate understanding of how and why biophysical principles relate to the learning of physical skills,Health and Physical Education,,PES7,Physical Education,38
A.S. 91329 v2,4.00 cr ,Physical Education 2.3 - Demonstrate understanding of the application of biophysical principles to training for physical activity,Health and Physical Education,,PES7,Physical Education,35
A.S. 91330 v3,4.00 cr ,Physical Education 2.4 - Perform a physical activity in an applied setting,Health and Physical Education,,PES7,Physical Education,38
A.S. 91331 v2,4.00 cr ,"Physical Education 2.5 - Examine the significance for self, others and society of a sporting event, a physical activity, or a festival",Health and Physical Education,,PES7,Physical Education,25
A.S. 91332 v2,4.00 cr ,Physical Education 2.6 - Evaluate leadership strategies that contribute to the effective functioning of a group,Health and Physical Education,,PES7,Physical Education,38
A.S. 91333 v2,3.00 cr ,Physical Education 2.7 - Analyse the application of risk management strategies to a challenging outdoor activity,Health and Physical Education,,PES7,Physical Education,38
A.S. 91498 v1,4.00 cr ,Physical Education 3.1 - Evaluate physical activity experiences to devise strategies for lifelong well-being,Health and Physical Education,,PES8,Physical Education,22
A.S. 91499 v1,3.00 cr ,Physical Education 3.2 - Analyse a physical skill performed by self or others,Health and Physical Education,,PES8,Physical Education,17
A.S. 91500 v1,4.00 cr ,Physical Education 3.3 - Evaluate the effectiveness of a performance improvement programme,Health and Physical Education,,PES8,Physical Education,26
A.S. 91501 v1,4.00 cr ,Physical Education 3.4 - Demonstrate quality performance of a physical activity in an applied setting,Health and Physical Education,,PES8,Physical Education,25
A.S. 91502 v1,4.00 cr ,"Physical Education 3.5 - Examine a current physical activity event, trend, or issue and its impact on New Zealand society",Health and Physical Education,,PES8,Physical Education,22
A.S. 91504 v1,3.00 cr ,Physical Education 3.7 - Analyse issues in safety management for outdoor activity to devise safety management strategies,Health and Physical Education,,PES8,Physical Education,13
A.S. 90921 v2,5.00 cr ,Agricultural and Horticultural Science 1.6 - Demonstrate knowledge of livestock management practices,Science,External,AGR6,Science,8
U.S. 18191 v3,3.00 cr ,"Demonstrate knowledge of safe handling and health problems of dairy cattle, associated with milking",Agriculture,,AGR6,Science,27
U.S. 19044 v3,3.00 cr ,Demonstrate knowledge of the legal requirements and hazards associated with tractor use,Agriculture,,AGR6,Science,25
U.S. 23540 v1,5.00 cr ,"Demonstrate knowledge of hazards, hazard control, and the consequences of injury in a rural workplace",Agriculture,,AGR6,Science,25
U.S. 24557 v3,3.00 cr ,Demonstrate knowledge of the safe operation of a quad bike,Agriculture,,AGR6,Science,26
U.S. 24832 v1,5.00 cr ,"Open and draw out a coil of wire, tie knots, join wire, and prepare wire for transport and storage",Agriculture,,AGR6,Science,25
U.S. 24833 v1,3.00 cr ,"Identify and maintain fencing tools and equipment, and identify fencing construction materials and wire types",Agriculture,,AGR6,Science,26
U.S. 27602 v1,3.00 cr ,Ride a quad bike on flat terrain under close supervision,Agriculture,,AGR6,Science,22
U.S. 27608 v1,3.00 cr ,Drive a basic wheel tractor on flat terrain under close supervision,Agriculture,,AGR6,Science,21
U.S. 561 v4,2.00 cr ,"Install, dismantle, and store temporary electric fences",Agriculture,,AGR6,Science,
U.S. 19053 v3,3.00 cr ,Ride a motorcycle on flat terrain,Agriculture,,AGR7,Science,22
U.S. 19054 v3,3.00 cr ,Ride a motorcycle on hilly terrain,Agriculture,,AGR7,Science,22
U.S. 19055 v3,3.00 cr ,Ride a motorcycle with mounted equipment or a load,Agriculture,,AGR7,Science,22
U.S. 23540 v1,5.00 cr ,"Demonstrate knowledge of hazards, hazard control, and the consequences of injury in a rural workplace",Agriculture,,AGR7,Science,22
U.S. 23542 v1,4.00 cr ,"Identify factors, and describe how to manage factors, that contribute to injury in a rural workplace",Agriculture,,AGR7,Science,24
U.S. 24553 v2,4.00 cr ,Drive a light utility vehicle (LUV) on flat terrain,Agriculture,,AGR7,Science,28
U.S. 24555 v2,3.00 cr ,Demonstrate knowledge of the safe operation of a motorcycle,Agriculture,,AGR7,Science,21
U.S. 24556 v2,3.00 cr ,Demonstrate knowledge of the safe operation of a light utility vehicle (LUV),Agriculture,,AGR7,Science,27
U.S. 24558 v2,4.00 cr ,Drive a light utility vehicle (LUV) on hilly terrain,Agriculture,,AGR7,Science,27
U.S. 24560 v2,3.00 cr ,Drive a light utility vehicle (LUV) with trailed equipment,Agriculture,,AGR7,Science,27
U.S. 24562 v2,3.00 cr ,Drive a light utility vehicle (LUV) with mounted equipment or a load,Agriculture,,AGR7,Science,27
U.S. 24832 v1,5.00 cr ,"Open and draw out a coil of wire, tie knots, join wire, and prepare wire for transport and storage",Agriculture,,AGR7,Science,10
U.S. 24836 v2,2.00 cr ,"Describe non-electric fences, fence support materials, and safe practices in fencing",Agriculture,,AGR7,Science,26
U.S. 24837 v1,3.00 cr ,Describe non-electric fence types and components,Agriculture,,AGR7,Science,24
U.S. 37 v5,6.00 cr ,Install fencing wire,Agriculture,,AGR7,Science,16
A.S. 90925 v2,4.00 cr ,"Biology 1.1 - Carry out a practical investigation in a biological context, with direction",Science,,BIO6,Science,50
A.S. 90926 v2,3.00 cr ,Biology 1.2 - Report on a biological issue,Science,,BIO6,Science,58
A.S. 90927 v3,4.00 cr ,Biology 1.3 - Demonstrate understanding of biological ideas relating to micro-organisms,Science,External,BIO6,Science,52
A.S. 90928 v3,4.00 cr ,Biology 1.4 - Demonstrate understanding of biological ideas relating to the life cycle of flowering plants,Science,External,BIO6,Science,53
A.S. 90929 v4,3.00 cr ,Biology 1.5 - Demonstrate understanding of biological ideas relating to a mammal(s) as a consumer(s),Science,External,BIO6,Science,53
A.S. 90949 v2,4.00 cr ,Science 1.10 - Investigate life processes and environmental factors that affect them,Science,,BIO6,Science,57
A.S. 91153 v1,4.00 cr ,"Biology 2.1 - Carry out a practical investigation in a biology context, with supervision",Science,,BIO7,Science,52
A.S. 91154 v1,3.00 cr ,Biology 2.2 - Analyse the biological validity of information presented to the public,Science,,BIO7,Science,55
A.S. 91156 v2,4.00 cr ,Biology 2.4 - Demonstrate understanding of life processes at the cellular level,Science,External,BIO7,Science,55
A.S. 91157 v2,4.00 cr ,Biology 2.5 - Demonstrate understanding of genetic variation and change,Science,External,BIO7,Science,52
A.S. 91158 v1,4.00 cr ,"Biology 2.6 - Investigate a pattern in an ecological community, with supervision",Science,,BIO7,Science,
A.S. 91159 v2,4.00 cr ,Biology 2.7 - Demonstrate understanding of gene expression,Science,External,BIO7,Science,55
A.S. 91160 v1,3.00 cr ,Biology 2.8 - Investigate biological material at the microscopic level,Science,,BIO7,Science,53
A.S. 91601 v1,4.00 cr ,"Biology 3.1 - Carry out a practical investigation in a biological context, with guidance",Science,,BIO8,Science,25
A.S. 91602 v1,3.00 cr ,Biology 3.2 - Integrate biological knowledge to develop an informed response to a socio-scientific issue,Science,,BIO8,Science,28
A.S. 91603 v1,5.00 cr ,Biology 3.3 - Demonstrate understanding of the responses of plants and animals to their external environment,Science,External,BIO8,Science,25
A.S. 91604 v1,3.00 cr ,Biology 3.4 - Demonstrate understanding of how an animal maintains a stable internal environment,Science,,BIO8,Science,28
A.S. 91606 v1,4.00 cr ,Biology 3.6 - Demonstrate understanding of trends in human evolution,Science,External,BIO8,Science,25
A.S. 91607 v1,3.00 cr ,Biology 3.7 - Demonstrate understanding of human manipulations of genetic transfer and its biological implications,Science,,BIO8,Science,26
A.S. 91161 v2,4.00 cr ,Chemistry 2.1 - Carry out quantitative analysis,Science,,CHE7,Science,49
A.S. 91162 v2,3.00 cr ,Chemistry 2.2 - Carry out procedures to identify ions present in solution,Science,,CHE7,Science,49
A.S. 91164 v2,5.00 cr ,"Chemistry 2.4 - Demonstrate understanding of bonding, structure, properties and energy changes",Science,External,CHE7,Science,47
A.S. 91165 v2,4.00 cr ,Chemistry 2.5 - Demonstrate understanding of the properties of selected organic compounds,Science,External,CHE7,Science,47
A.S. 91166 v2,4.00 cr ,Chemistry 2.6 - Demonstrate understanding of chemical reactivity,Science,External,CHE7,Science,
A.S. 91167 v2,3.00 cr ,Chemistry 2.7 - Demonstrate understanding of oxidation-reduction,Science,,CHE7,Science,50
A.S. 91388 v1,3.00 cr ,Chemistry 3.2 - Demonstrate understanding of spectroscopic data in chemistry,Science,,CHE8,Science,24
A.S. 91389 v1,3.00 cr ,Chemistry 3.3 - Demonstrate understanding of chemical processes in the world around us,Science,,CHE8,Science,26
A.S. 91390 v1,5.00 cr ,Chemistry 3.4 - Demonstrate understanding of thermochemical principles and the properties of particles and substances,Science,External,CHE8,Science,26
A.S. 91391 v1,5.00 cr ,Chemistry 3.5 - Demonstrate understanding of the properties of organic compounds,Science,External,CHE8,Science,26
A.S. 91392 v1,5.00 cr ,Chemistry 3.6 - Demonstrate understanding of equilibrium principles in aqueous systems,Science,External,CHE8,Science,
A.S. 91393 v1,3.00 cr ,Chemistry 3.7 - Demonstrate understanding of oxidation-reduction processes,Science,,CHE8,Science,25
U.S. 6345 v5,4.00 cr ,Analyse oxidation - reduction reactions,Science,,CHE8,Science,
U.S. 8949 v4,4.00 cr ,Characterise the composition of acid and base solutions,Science,,CHE8,Science,
U.S. 18240 v5,5.00 cr ,Demonstrate knowledge of basic electronic components,Electronic Engineering,,ELT6,Science,7
U.S. 18242 v5,3.00 cr ,Construct a simple printed circuit,Electronic Engineering,,ELT6,Science,14
U.S. 18243 v5,6.00 cr ,Construct simple electronic products from supplied circuit schematics,Electronic Engineering,,ELT6,Science,2
A.S. 91354 v3,4.00 cr ,Generic Technology 2.1 - Undertake brief development to address an issue,Technology,,ELT7,Science,
U.S. 18239 v5,5.00 cr ,Demonstrate introductory knowledge of circuit concepts and measurements for electronics,Electronic Engineering,,ELT7,Science,4
U.S. 18241 v5,5.00 cr ,Demonstrate knowledge of basic electronic systems,Electronic Engineering,,ELT7,Science,
U.S. 19745 v4,5.00 cr ,Demonstrate and apply elementary knowledge of wireless transmission,Electronic Engineering,,ELT7,Science,
U.S. 26119 v3,4.00 cr ,"Construct, and report on the performance of, a simple electronic programmable circuit",Electronic Engineering,,ELT8,Science,
U.S. 26120 v5,3.00 cr ,Describe and construct circuits to demonstrate the operation and properties of electronic devices,Electronic Engineering,,ELT8,Science,
U.S. 9221 v7,3.00 cr ,Demonstrate knowledge of the development of an electronic product,Electronic Engineering,,ELT8,Science,
A.S. 91187 v1,4.00 cr ,Earth and Space Science 2.1 - Carry out a practical Earth and Space Science investigation,Science,,ESS7,Science,32
A.S. 91188 v1,4.00 cr ,Earth and Space Science 2.2 - Examine an Earth and Space Science issue and the validity of the information communicated to the public,Science,,ESS7,Science,31
A.S. 91189 v1,4.00 cr ,Earth and Space Science 2.3 - Investigate geological processes in a New Zealand locality,Science,,ESS7,Science,27
A.S. 91190 v1,4.00 cr ,Earth and Space Science 2.4 - Investigate how organisms survive in an extreme environment,Science,,ESS7,Science,32
A.S. 91191 v2,4.00 cr ,Earth and Space Science 2.5 - Demonstrate understanding of the causes of extreme Earth events in New Zealand,Science,External,ESS7,Science,26
A.S. 91192 v2,4.00 cr ,Earth and Space Science 2.6 - Demonstrate understanding of stars and planetary systems,Science,External,ESS7,Science,26
A.S. 91193 v2,4.00 cr ,Earth and Space Science 2.7 - Demonstrate understanding of physical principles related to the Earth System,Science,External,ESS7,Science,
A.S. 91410 v1,4.00 cr ,Earth and Space Science 3.1 - Carry out an independent practical Earth and Space Science investigation,Science,,ESS8,Science,19
A.S. 91411 v1,4.00 cr ,Earth and Space Science 3.2 - Investigate a socio-scientific issue in an Earth and Space Science context,Science,,ESS8,Science,21
A.S. 91412 v1,4.00 cr ,Earth and Space Science 3.3 - Investigate the evidence related to dating geological event(s),Science,,ESS8,Science,21
A.S. 91413 v1,4.00 cr ,Earth and Space Science 3.4 - Demonstrate understanding of processes in the ocean system,Science,External,ESS8,Science,
A.S. 91414 v1,4.00 cr ,Earth and Space Science 3.5 - Demonstrate understanding of processes in the atmosphere system,Science,External,ESS8,Science,19
A.S. 91415 v1,4.00 cr ,Earth and Space Science 3.6 - Investigate an aspect of astronomy,Science,,ESS8,Science,22
A.S. 90157 v3,4.00 cr ,Agricultural and Horticultural Science 1.2 - Demonstrate practical skills used in agricultural or horticultural production,Science,,HOR6,Science,23
U.S. 1 v5,5.00 cr ,Prepare and sow outdoor seedbeds manually,Horticulture,,HOR6,Science,22
U.S. 20570 v3,5.00 cr ,Demonstrate knowledge of nursery growing media and soils,Horticulture,,HOR6,Science,22
U.S. 21027 v3,10.00 cr ,"Plant and care for bedding plants, bulbs or herbaceous perennials",Horticulture,,HOR6,Science,22
U.S. 23782 v1,2.00 cr ,"Identify containers, materials, plants, and tools used in plant propagation",Horticulture,,HOR6,Science,22
U.S. 23783 v1,5.00 cr ,Grow and maintain plants in containers from seed,Horticulture,,HOR6,Science,23
A.S. 91292 v2,4.00 cr ,Agricultural and Horticultural Science 2.4 - Demonstrate understanding of how management practices influence plant growth and development in NZ commercial production,Science,,HOR7,Science,
U.S. 22177 v1,5.00 cr ,Demonstrate knowledge of the structure and function of plants,Horticulture,,HOR7,Science,11
U.S. 22191 v1,5.00 cr ,Demonstrate knowledge of factors which influence plant growth,Horticulture,,HOR7,Science,10
U.S. 23781 v1,5.00 cr ,Grow and pot up plants from stem cuttings,Horticulture,,HOR7,Science,12
U.S. 27707 v1,5.00 cr ,"Demonstrate knowledge of plant propagation by budding, grafting, layering and tissue culture",Horticulture,,HOR7,Science,12
U.S. 27708 v1,6.00 cr ,Demonstrate knowledge of sexual and asexual plant propagation,Horticulture,,HOR7,Science,13
U.S. 20574 v2,5.00 cr ,Identify plants,Horticulture,,NVI7,Science,10
U.S. 20789 v1,6.00 cr ,Demonstrate knowledge of possum biology and environmental impact as a pest species,Pest Management,,NVI7,Science,9
U.S. 22183 v1,5.00 cr ,Plant out horticulture crops by hand,Horticulture,,NVI7,Science,11
U.S. 27210 v1,6.00 cr ,"Identify and describe weeds, and methods of prevention and control",Primary Sector,,NVI7,Science,10
U.S. 2765 v5,4.00 cr ,Plant trees and shrubs,Horticulture,,NVI7,Science,11
U.S. 829 v4,5.00 cr ,Demonstrate knowledge of plant nomenclature,Horticulture,,NVI7,Science,9
U.S. 20790 v1,6.00 cr ,Demonstrate knowledge of rabbit biology and environmental impact as a pest species,Pest Management,,NVI8,Science,
U.S. 21031 v3,10.00 cr ,"Identify annuals, herbaceous perennials, biennials, and bulbs used in amenity horticulture",Horticulture,,NVI8,Science,
A.S. 91168 v1,4.00 cr ,Physics 2.1 - Carry out a practical physics investigation that leads to a non-linear mathematical relationship,Science,,PHY7,Science,
A.S. 91169 v1,3.00 cr ,Physics 2.2 - Demonstrate understanding of physics relevant to a selected context,Science,,PHY7,Science,49
A.S. 91170 v2,4.00 cr ,Physics 2.3 - Demonstrate understanding of waves,Science,External,PHY7,Science,51
A.S. 91171 v2,6.00 cr ,Physics 2.4 - Demonstrate understanding of mechanics,Science,External,PHY7,Science,51
A.S. 91172 v1,3.00 cr ,Physics 2.5 - Demonstrate understanding of atomic and nuclear physics,Science,,PHY7,Science,47
A.S. 91173 v2,6.00 cr ,Physics 2.6 - Demonstrate understanding of electricity and electromagnetism,Science,External,PHY7,Science,51
A.S. 91521 v1,4.00 cr ,Physics 3.1 - Carry out a practical investigation to test a physics theory relating two variables in a non-linear relationship,Science,,PHY8,Science,
A.S. 91522 v1,3.00 cr ,Physics 3.2 - Demonstrate understanding of the application of physics to a selected context,Science,,PHY8,Science,22
A.S. 91523 v1,4.00 cr ,Physics 3.3 - Demonstrate understanding of wave systems,Science,External,PHY8,Science,22
A.S. 91524 v1,6.00 cr ,Physics 3.4 - Demonstrate understanding of mechanical systems,Science,External,PHY8,Science,22
A.S. 91525 v1,3.00 cr ,Physics 3.5 - Demonstrate understanding of Modern Physics,Science,,PHY8,Science,22
A.S. 91526 v1,6.00 cr ,Physics 3.6 - Demonstrate understanding of electrical systems,Science,External,PHY8,Science,22
A.S. 91527 v1,3.00 cr ,Physics 3.7 - Use physics knowledge to develop an informed response to a socio-scientific issue,Science,,PHY8,Science,
A.S. 90930 v2,4.00 cr ,"Chemistry 1.1 - Carry out a practical chemistry investigation, with direction",Science,,SCA6,Science,54
A.S. 90935 v2,4.00 cr ,"Physics 1.1 - Carry out a practical physics investigation that leads to a linear mathematical relationship, with direction",Science,,SCA6,Science,53
A.S. 90954 v1,4.00 cr ,Science 1.15 - Demonstrate understanding of the effects of astronomical cycles on planet Earth,Science,,SCA6,Science,53
U.S. 18969 v4,2.00 cr ,"Demonstrate knowledge of the characteristics of living things, organs, and an organ system",Science,,SCA6,Science,52
U.S. 18973 v5,2.00 cr ,Demonstrate knowledge of matter,Science,,SCA6,Science,54
